first_date,country,installs,retained_d1,retained_d7,retention_d1,retention_d7,retention_d1_percent,retention_d7_percent
2021-11-17,UZ,333,123,24,0.36936936936936937,0.07207207207207207,36.94,7.21
2021-11-17,VC,11,5,0,0.45454545454545453,0.0,45.45,0.0
2021-11-17,VE,18,8,1,0.4444444444444444,0.05555555555555555,44.44,5.56
2021-11-17,VG,2,0,0,0.0,0.0,0.0,0.0
2021-11-17,VI,1,0,0,0.0,0.0,0.0,0.0
2021-11-17,VN,2671,884,111,0.3309621864470236,0.041557469112691876,33.1,4.16
2021-11-17,WS,1,0,0,0.0,0.0,0.0,0.0
2021-11-17,XK,18,6,0,0.3333333333333333,0.0,33.33,0.0
2021-11-17,XX,4,1,2,0.25,0.5,25.0,50.0
2021-11-17,YE,45,16,6,0.35555555555555557,0.13333333333333333,35.56,13.33
2021-11-17,YT,6,2,0,0.3333333333333333,0.0,33.33,0.0
2021-11-17,ZA,210,83,24,0.3952380952380952,0.11428571428571428,39.52,11.43
2021-11-17,ZM,23,10,2,0.43478260869565216,0.08695652173913043,43.48,8.7
2021-11-17,ZW,6,2,0,0.3333333333333333,0.0,33.33,0.0
2021-11-18,AD,1,1,1,1.0,1.0,100.0,100.0
2021-11-18,AE,327,118,46,0.36085626911314983,0.14067278287461774,36.09,14.07
2021-11-18,AF,51,25,4,0.49019607843137253,0.0784313725490196,49.02,7.84
2021-11-18,AG,9,1,0,0.1111111111111111,0.0,11.11,0.0
2021-11-18,AI,1,1,0,1.0,0.0,100.0,0.0
2021-11-18,AL,52,23,4,0.4423076923076923,0.07692307692307693,44.23,7.69
2021-11-18,AM,92,29,5,0.31521739130434784,0.05434782608695652,31.52,5.43
2021-11-18,AO,13,7,2,0.5384615384615384,0.15384615384615385,53.85,15.38
2021-11-18,AR,1650,646,168,0.39151515151515154,0.10181818181818182,39.15,10.18
2021-11-18,AS,5,3,1,0.6,0.2,60.0,20.0
2021-11-18,AT,71,25,8,0.352112676056338,0.11267605633802817,35.21,11.27
2021-11-18,AU,153,61,18,0.39869281045751637,0.11764705882352941,39.87,11.76
2021-11-18,AW,1,0,0,0.0,0.0,0.0,0.0
2021-11-18,AZ,177,70,16,0.3954802259887006,0.0903954802259887,39.55,9.04
2021-11-18,BA,67,28,5,0.417910447761194,0.07462686567164178,41.79,7.46
2021-11-18,BB,10,5,1,0.5,0.1,50.0,10.0
2021-11-18,BD,343,117,30,0.34110787172011664,0.08746355685131195,34.11,8.75
2021-11-18,BE,68,24,6,0.35294117647058826,0.08823529411764706,35.29,8.82
2021-11-18,BF,21,8,0,0.38095238095238093,0.0,38.1,0.0
2021-11-18,BG,190,95,16,0.5,0.08421052631578947,50.0,8.42
2021-11-18,BH,20,8,3,0.4,0.15,40.0,15.0
